Date,January,February,March,April,May,June,July,August,September,October,November,December,Year
30,169073.0,0.0,408316.0,303682.0,379464.0,414139.0,256358.0,432923.0,440754.0,251180.0,434284.0,287241.0,2005
31,404493.0,0.0,403099.0,0.0,415948.0,0.0,231634.0,439798.0,0.0,174143.0,0.0,159028.0,2005
1,134830.0,458662.0,445630.0,312014.0,195762.0,405139.0,324653.0,419582.0,448773.0,154945.0,185774.0,223589.0,2006
2,333588.0,421882.0,430662.0,205445.0,457502.0,459258.0,196435.0,441099.0,324105.0,430796.0,388742.0,318625.0,2006
3,407858.0,452204.0,438405.0,433720.0,439344.0,306522.0,424923.0,421698.0,214337.0,393276.0,423238.0,227002.0,2006
4,412720.0,311947.0,318666.0,422839.0,410260.0,210602.0,419532.0,446349.0,425295.0,437150.0,306749.0,458188.0,2006
5,401756.0,223940.0,204582.0,440561.0,435297.0,419059.0,446599.0,323196.0,413897.0,396967.0,199969.0,457639.0,2006
6,433718.0,438975.0,438571.0,404321.0,301191.0,419675.0,412416.0,215375.0,435341.0,440263.0,452813.0,463709.0,2006
7,313673.0,427389.0,433106.0,437737.0,196849.0,434895.0,432929.0,424764.0,419687.0,326026.0,433743.0,438229.0,2006
8,203674.0,449928.0,426242.0,294871.0,427962.0,406307.0,294954.0,436085.0,433214.0,197727.0,444788.0,453492.0,2006
9,398250.0,407954.0,418045.0,189859.0,425422.0,445470.0,207438.0,428980.0,326942.0,413033.0,433090.0,345283.0,2006
10,422558.0,457707.0,444701.0,419366.0,427387.0,302831.0,431906.0,417610.0,210235.0,427054.0,460976.0,229229.0,2006
11,437833.0,318800.0,315105.0,415574.0,413655.0,195151.0,419740.0,446399.0,422079.0,441263.0,319925.0,430946.0,2006
12,420555.0,205491.0,195734.0,370822.0,414973.0,154725.0,364125.0,315878.0,416919.0,439298.0,210998.0,450981.0,2006
13,435655.0,420879.0,428409.0,0.0,258696.0,426559.0,359320.0,191857.0,439888.0,445637.0,439645.0,472942.0,2006
14,322667.0,440726.0,418878.0,0.0,186008.0,411303.0,423032.0,409735.0,417208.0,321122.0,443071.0,455182.0,2006
15,211707.0,448102.0,447866.0,0.0,413537.0,439005.0,326767.0,414333.0,444554.0,211324.0,463067.0,487735.0,2006
16,441462.0,432165.0,437608.0,170499.0,447775.0,444824.0,210528.0,435046.0,335247.0,443329.0,438257.0,368937.0,2006
17,430893.0,446899.0,445455.0,412680.0,427877.0,317226.0,433329.0,418950.0,215236.0,423342.0,459298.0,266110.0,2006
18,439413.0,318149.0,305850.0,430823.0,430777.0,205590.0,423097.0,436659.0,436531.0,450704.0,372394.0,462339.0,2006
19,425377.0,206182.0,211697.0,456058.0,435408.0,423762.0,408626.0,307338.0,392853.0,410956.0,205627.0,457306.0,2006
20,451019.0,437125.0,433545.0,413541.0,304691.0,415459.0,459710.0,198444.0,408798.0,455433.0,455550.0,466337.0,2006
21,303202.0,432253.0,426723.0,422965.0,200723.0,436834.0,441428.0,205413.0,453192.0,324895.0,452488.0,455175.0,2006
22,199842.0,452714.0,417953.0,363189.0,434482.0,406154.0,310375.0,446692.0,438954.0,205627.0,457986.0,466243.0,2006
23,434048.0,419596.0,422767.0,187171.0,422719.0,441686.0,180192.0,429367.0,320401.0,437796.0,436491.0,338860.0,2006
24,425314.0,420409.0,428666.0,417424.0,457400.0,298953.0,307204.0,416254.0,203913.0,243023.0,455285.0,211918.0,2006
